File,Line,Pattern,Risk Level,Suggestion
/home/kalyaan/rayon/src/array.rs,78,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/array.rs,79,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/array.rs,80,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/array.rs,81,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/array.rs,82,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/array.rs,83,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,37,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,38,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,39,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,45,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,55,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,56,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,57,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,58,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,59,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,60,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,61,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,62,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,63,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,64,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,65,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,66,ptr::read/write,HIGH: Manual pointer read/write,Use safe abstractions if possible
/home/kalyaan/rayon/src/slice/sort.rs,67,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,68,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,69,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,70,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,71,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,72,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,73,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,74,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,75,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,76,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,77,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,78,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,79,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,80,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,101,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,108,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,109,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,110,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,111,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,112,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,113,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,114,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,115,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,116,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,117,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,118,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,119,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,120,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,121,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,122,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,123,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,124,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,125,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,126,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,127,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,128,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,129,ptr::read/write,HIGH: Manual pointer read/write,Use safe abstractions if possible
/home/kalyaan/rayon/src/slice/sort.rs,130,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,131,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,132,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,133,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,134,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,135,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,136,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,137,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,138,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,139,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,140,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,141,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,142,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,143,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,144,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,178,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,179,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,180,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,204,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,205,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,206,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,229,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,230,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,231,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,232,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,233,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,346,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,409,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,410,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,411,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,412,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,413,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,414,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,436,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,437,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,438,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,439,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,440,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,441,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,473,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,479,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,480,ptr::read/write,HIGH: Manual pointer read/write,Use safe abstractions if possible
/home/kalyaan/rayon/src/slice/sort.rs,481,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,482,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,483,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,484,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,485,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,486,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,487,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,488,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,506,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,514,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,542,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,543,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,544,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,545,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,546,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,555,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,556,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,557,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,558,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,559,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,589,ptr::read/write,HIGH: Manual pointer read/write,Use safe abstractions if possible
/home/kalyaan/rayon/src/slice/sort.rs,604,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,605,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,606,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,607,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,608,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,648,ptr::read/write,HIGH: Manual pointer read/write,Use safe abstractions if possible
/home/kalyaan/rayon/src/slice/sort.rs,668,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,669,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,670,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,671,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,672,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,782,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,956,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/rayon/src/slice/sort.rs,964,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,989,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,990,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,991,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,992,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,993,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,994,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,995,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1008,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1009,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1010,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1021,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1022,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1023,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1024,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1025,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1026,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1027,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1040,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1041,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1042,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1043,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1044,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1064,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1065,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1066,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1067,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1100,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/rayon/src/slice/sort.rs,1149,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1150,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1151,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1253,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1254,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1255,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1256,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1257,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1258,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1259,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1260,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1261,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1262,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1333,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/rayon/src/slice/sort.rs,1411,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1412,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1413,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1414,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1415,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1416,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1417,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1418,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1435,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1546,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1567,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1568,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1569,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1570,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1605,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1606,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/slice/sort.rs,1607,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/range_inclusive.rs,249,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/range_inclusive.rs,255,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/range.rs,308,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/range.rs,314,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/product.rs,23,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/sum.rs,23,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/mod.rs,113,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/mod.rs,114,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/mod.rs,115,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,23,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,30,raw_pointers,MEDIUM: Raw pointer usage,Consider using NonNull<T>
/home/kalyaan/rayon/src/iter/collect/consumer.rs,57,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,77,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,78,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,79,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,80,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,81,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,82,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,96,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,97,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,98,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,99,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,100,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,101,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,102,other,LOW,Review for potential safety issues
/home/kalyaan/rayon/src/iter/collect/consumer.rs,103,other,LOW,Review for potential safety issues
